idade,cpf,rg,altura,peso
20,27415690885,83609554,178,70
20,18904537657,57330437,197,93
44,04582396151,12399228,168,98
22,84936520756,67032529,182,59
58,06873519286,11771867,184,58
69,70526849185,92730290,186,65
26,49082657120,57591620,185,71
52,40537961216,56421827,173,93
55,35240697892,19826990,194,50
19,03765294829,11682699,169,90
29,16420589711,67175309,166,54
58,20613578490,68695091,153,77
32,51379286409,21294053,167,76
90,82496735146,69907328,193,68
65,76023891586,59208189,177,55
90,78026591402,50153897,199,80
41,61579042325,84252839,183,93
42,43816709575,87958256,198,88
73,01543267807,62301330,151,76
53,52971864391,67172970,165,74
78,12560934752,83600468,199,68
65,79850634200,90548470,190,82
79,06913258470,67474858,152,63
79,13708296478,97535624,183,83
46,69412735006,15416810,166,53
48,80491325606,81782604,196,92
53,54923801760,86420177,191,70
34,37065812480,61621684,200,83
44,32905846151,81685051,159,81
72,60745983120,39737297,198,70
19,97836014231,66615847,200,63
80,57892164391,95428984,155,81
21,85463127026,75859717,186,92
72,54293076107,27751491,164,75
27,08519672302,74412163,150,56
36,53481907214,65542539,188,57
21,94560328170,28370813,151,91
18,34061528726,24713557,195,76
58,37802946565,50498684,170,98
51,12703456999,86375890,164,62
46,84307962583,70738622,195,55
28,51806439298,84687452,164,66
74,63095428189,30396156,175,62
89,53178960295,93948574,183,74
20,73149286573,41279874,195,52
61,32985406170,52094000,161,87
39,01945728388,85634700,162,86
29,03518472607,19099247,174,95
58,82347601903,93363573,187,60
69,48296073196,39829561,168,56
87,48317026922,92887009,199,81
34,67842319537,68695712,181,72
39,96305478139,80640986,183,64
79,27089416585,63043217,196,54
54,74690835101,58268316,194,76
73,74635921034,56050540,187,99
61,63729054180,69922070,177,69
38,71480362913,25332501,186,72
77,85046972158,53409179,188,96
54,91742583032,79469400,200,88
35,35469728137,49204616,194,53
36,59786243056,75660927,187,75
46,73014862517,28847891,168,66
23,27619058303,68934899,182,91
29,40839752105,10755555,150,92
40,76851920476,60890311,174,72
43,61953742025,19153034,163,61
62,78136420904,68180641,183,87
27,36081724590,11346582,184,52
76,82954673109,91934681,177,96
68,03146928515,50343541,190,68
40,79205836168,74804368,167,84
52,61452309752,86050688,152,94
32,17908346278,47810039,192,98
55,47953620847,29661456,166,70
63,39607851439,48069729,154,84
24,32061785417,23163008,199,88
26,01673254934,67122072,198,72
77,06972853168,74529154,180,62
70,60527843938,73106723,194,82
27,42583169033,87299002,156,74
59,74698352100,51788703,182,71
47,89560314289,19563633,189,91
47,48250976347,42871449,166,75
35,27415306880,75194098,167,74
46,83697120450,12639161,197,55
19,39084275179,57432711,181,100
82,56708341271,68440329,174,56
46,14762903850,75008795,190,78
69,75329041805,69898761,195,67
45,47915620380,38154194,153,81
83,95240638756,67850037,177,69
44,13904287532,76717241,184,68
28,71206395443,54436835,157,54
26,39786425065,57466136,192,99
81,08957234683,81701985,165,55
76,74310586910,18736210,181,73
22,80216759340,30659959,162,52
40,92168750386,64038021,167,63
56,20378961403,54950793,170,60
30,59732104643,52948346,173,75
58,51893407675,68796928,196,100
36,07483295600,80777562,188,80
43,91735268003,76973563,179,69
50,87124360978,37755259,178,90
73,23869410515,27752542,177,51
87,52983617068,85332214,159,86
18,14263589700,46205066,190,55
41,79234860187,14679074,183,82
79,23147960803,45879393,166,96
90,89037514693,46506042,164,74
69,02851673912,73094463,175,55
33,45260789130,36844424,183,55
77,37964025856,59419319,194,66
87,61957830484,18685364,167,93
81,68479213078,56811816,164,74
52,54620739170,25372396,187,62
38,95167023416,20540603,169,82
79,02738569447,97359057,167,92
24,45370986193,10795886,172,97
37,42519380705,78963930,171,95
22,29764180558,85401310,164,69
83,54690713839,29962265,151,88
61,52609817312,93748029,158,95
89,17684395246,51685393,156,79
77,02687319503,94213922,177,92
58,68503174901,63418162,193,55
50,05983462105,83698506,159,73
46,35189047288,42921708,192,89
70,16052947802,77473580,161,63
64,13957406820,61008934,183,76
33,05286734910,83380136,195,62
65,26704983104,96849190,159,54
47,42906713570,43548186,170,65
24,81075426308,43135970,188,76
85,58724136026,52747490,175,60
90,65130482735,17258271,150,89
42,30814972640,22604526,180,58
70,84376952010,56708351,150,61
67,98501362786,55872533,186,93
60,28645971364,53414269,171,98
27,81654903205,59100144,188,85
25,90475381610,88794204,164,53
56,15208974304,73330851,184,55
57,93127508441,84834570,167,88
90,49381065233,60204668,170,64
63,67893051493,11096241,153,75
24,09854726347,16923553,188,61
37,03461987204,37227048,188,95
63,36580172444,54801694,150,90
39,74293016570,76926417,178,54
35,60529371499,63362170,172,80
30,63248701978,44280626,156,75
48,86074231931,43169769,173,56
38,40271658371,96736375,170,70
35,06874951300,87895074,163,68
86,06872935456,33062929,186,77
31,15069427849,26263631,173,76
81,26539418728,99439758,170,72
46,65190342824,75257173,151,94
28,83904715666,75230572,191,89
77,92056417316,53289676,155,63
70,74398560238,82540412,177,88
22,49317582664,12654352,173,83
29,17539420634,18390543,157,67
45,13256789455,17130291,180,55
51,52386470938,90425420,171,83
29,31042758662,23472071,159,58
44,57401968339,33858211,151,78
60,31769082530,40314273,186,64
27,61435789237,27581351,189,58
49,92405831651,38047754,200,81
42,56978031259,99831601,152,94
78,36048572956,19448010,193,54
86,20439657199,44175066,181,58
73,86402597120,82647101,167,65
51,90687325447,73877025,156,61
20,29531768455,75002287,152,84
33,24518936728,92942187,171,90
52,64327809500,88133028,163,91
84,50786129395,22451859,192,61
60,39870146520,19436773,172,59
83,24087539105,25788380,157,84
59,13684297500,23042152,160,59
26,21604795352,58215893,190,53
41,96802475111,56288765,183,86
52,91762350840,79116456,158,82
38,92510637886,57518815,155,65
67,86305219702,34410869,180,73
24,76130892586,27295657,165,82
61,08536917466,96913429,155,87
18,91780653484,74239782,196,73
48,31809475600,75595099,161,88
19,49276318003,60466615,180,50
55,21640739599,83962216,179,90
39,89310762403,65257810,160,50
42,51839246782,18509096,171,91
40,27069358474,78595378,199,67
46,96735812077,89781286,170,84
67,43706918269,41690466,194,55
82,28536091460,68852833,162,73
21,09287431604,55858028,158,65
79,87901642530,60921385,163,67
31,92683715021,88464854,181,61
58,32647958173,21828480,199,59
60,53768410226,97987350,187,65
73,51682093786,71886077,185,97
80,62890745392,86264128,193,77
70,56041987220,94477273,198,86
52,67134902803,42528516,164,100
59,59764203116,21502259,155,67
25,71236085930,26603212,159,91
30,51048762335,14412734,183,74
